ice_source,region,year,q0.5,q0.05,q0.95,q0.17,q0.83,q0.25,q0.75,sample_mean,sample_sd,sample_min, sample_max
GrIS,ALL,2100,5.26735796238003,-2.1790063129993,14.3572597157756,1.00574525652064,9.91711166737578,2.24614834400819,8.47005655113241,5.6239,6.2219,-37.4390,62.9934
AIS,WAIS,2100,2.31495567813786,-4.8895875653414,10.1923238855334,-1.89864021538012,6.71392982283263,-0.675382809875254,5.39376192662159,2.4759,4.5866,-14.1412,31.7387
AIS,EAIS,2100,1.07249508972678,-4.26932256649489,7.00670146027532,-2.05699617504676,4.36526912330832,-1.15019483836641,3.37306730412883,1.1346,3.4590,-10.5666,23.4101
AIS,PEN,2100,0.380004659932494,-1.17884001933235,2.01421152462318,-0.564606695798153,1.36207998417835,-0.300302866669978,1.08204439723142,0.4016,0.9780,-2.8051,3.9512
AIS,ALL,2100,3.90034509400014,-5.07697508127069,13.7897592229124,-1.44411596463625,9.38830476145501,0.10005041053895,7.79843189366254,4.012,5.793,-16.644,34.422
Glaciers,region_1,2100,1.63032083524749,0.370966651099523,2.8962830739606,0.899103375872901,2.36389575555725,1.11321742422467,2.148611124214,1.6192,0.7714,-0.9521,4.3300
Glaciers,region_2,2100,0.182730935944906,0.104873043524951,0.245492872113958,0.138011036060066,0.223501075805171,0.151297158058582,0.212336361066109,0.1859,0.0453,0.0201,0.2600
Glaciers,region_3,2100,1.56646909127641,0.120309793054849,3.02529417627296,0.726575451634148,2.41046129976071,0.972433393489881,2.16253197398386,1.5831,0.8741,-1.3499,4.7302
Glaciers,region_4,2100,0.73822203484572,0.0917731473893982,1.38616728819763,0.363030448524534,1.11407455238375,0.472940176964514,1.00384637913951,0.7343,0.3947,-0.7252,2.0500
Glaciers,region_5,2100,1.13108988348033,0.135765827045081,2.13125518650786,0.553317074648194,1.71051379385571,0.722536147985777,1.54046802299113,1.1381,0.6079,-0.9939,3.3600
Glaciers,region_6,2100,0.305726165762411,-0.0358916252472398,0.644921269498151,0.10757863186489,0.503428073461053,0.165668785906613,0.445592475892085,0.3078,0.2081,-0.4780,0.9100
Glaciers,region_7,2100,1.010596371506,0.226011541432108,1.61190226423598,0.561237091992557,1.4097680107043,0.695261422173473,1.30246312022293,1.0487,0.4586,-0.6593,1.7300
Glaciers,region_8,2100,0.0376205396890535,0.0137343592489562,0.0601206054056413,0.0237901839804679,0.0511523931653128,0.0278546807846953,0.0472519003124111,0.0384,0.0147,-0.0143,0.0700
Glaciers,region_9,2100,1.34245808708877,0.304118762108794,2.38101991626539,0.739543678458802,1.94652313503722,0.916090556911679,1.76948925462838,1.3552,0.6319,-0.9484,3.2000
Glaciers,region_10,2100,0.0200214761270636,0.00389900999966315,0.0285439209016928,0.0111287257729315,0.0263110433396403,0.0139059552511735,0.0248385094389978,0.0232,0.0080,-0.0170,0.0300
Glaciers,region_11,2100,0.0222634955944469,0.0134738960072633,0.0284749702358954,0.0172462982259988,0.0265128971470679,0.0187549161332219,0.0254076750675821,0.0234,0.0051,0.0044,0.0300
Glaciers,region_12,2100,0.0113550685300796,0.00700016146904675,0.0156745610112789,0.00883236292627349,0.0138866822642072,0.00959086720019131,0.0131438390118495,0.0118,0.0026,0.0022,0.0200
Glaciers,region_13,2100,0.495411670995263,0.183327586444383,0.739593510140478,0.316355189667608,0.656267868561887,0.369645183664938,0.612714595159442,0.5086,0.1856,-0.1943,0.7900
Glaciers,region_14,2100,0.373420791321747,0.146343308740892,0.590919051705601,0.241765242007107,0.503234537430787,0.280398986123495,0.46565088992315,0.3755,0.1381,-0.0864,0.6900
Glaciers,region_15,2100,0.129628630743859,0.0353083670571152,0.197774120069361,0.0758213854952821,0.175901347600167,0.0919551629404177,0.163735763837667,0.1363,0.0541,-0.0891,0.2100
Glaciers,region_16,2100,0.0129470710277336,0.00278593390574683,0.0187920428260613,0.0072829309039124,0.0171847756004517,0.0090246265837053,0.0161624162063268,0.0148,0.0053,-0.0096,0.0200
Glaciers,region_17,2100,0.432523696056309,0.0739019617021718,0.792071680457686,0.22439526222141,0.640972141917964,0.285370325513294,0.579837474756435,0.4373,0.2136,-0.3521,1.2800
Glaciers,region_18,2100,0.00750813112282514,0.00189268467338125,0.0131344361778786,0.00425789885306495,0.0107643308707917,0.00520720242273796,0.00981193915469175,0.0080,0.0034,-0.0031,0.0180
Glaciers,region_19,2100,1.4868694461383,-0.420399157767689,3.39778590794814,0.380086008686917,2.59488221480271,0.704377437176514,2.26997593327835,1.5088,1.1769,-2.3712,5.7394
Glaciers,ALL,2100,11.0573633613173,7.23756766853468,14.9326984029139,8.81238089151681,13.3172629557403,9.49412885531568,12.6051614710685,11.058,2.360,2.621,19.906
LAND_ICE,ALL,2100,20.2463592203708,7.10530968168791,35.2411834651348,12.7649617613249,28.4451686504448,15.0525724228093,25.9842081970433,20.694,9.102,-34.509,87.718
