ice_source,region,year,q0.5,q0.05,q0.95,q0.17,q0.83,q0.25,q0.75,sample_mean,sample_sd,sample_min, sample_max
GrIS,ALL,2100,7.19990524917688,-0.381957255650288,16.395928696601,2.85767247356356,11.9283297865564,4.12152966713424,10.4589428129639,7.4917,6.3477,-34.6149,62.0666
AIS,WAIS,2100,2.69804022257246,-4.49627903768713,10.5472882398816,-1.50723489320037,7.08223142485438,-0.285723146714382,5.7670048583016,2.7924,4.6910,-12.3517,31.7194
AIS,EAIS,2100,0.804700337748633,-4.52694000227241,6.73420622730505,-2.32040120192747,4.0958338116186,-1.41529495115675,3.10403170611671,0.8599,3.4536,-10.6357,17.6508
AIS,PEN,2100,0.404686813367221,-1.15066552573226,2.01486248872075,-0.538300937734576,1.37545267164629,-0.274418268675891,1.10005517270505,0.4285,0.9863,-2.9613,3.8405
AIS,ALL,2100,3.9317973631038,-5.27207390728096,13.7845060581344,-1.53916695313511,9.52987379815493,0.0982428067870401,7.94519651378126,4.081,5.832,-17.085,32.095
Glaciers,region_1,2100,1.95363832799167,0.668831195090625,3.25255674368436,1.20661210597628,2.70640277743069,1.4250299639949,2.48518655726239,1.9687,0.7922,-1.0882,4.3300
Glaciers,region_2,2100,0.194184132680157,0.118633376225718,0.249662450115293,0.151024430559304,0.231646051521064,0.163943285190958,0.221738803839364,0.1991,0.0435,0.0029,0.2600
Glaciers,region_3,2100,1.99325681978358,0.510599652740466,3.51577392685287,1.13001870377272,2.86923345954232,1.38202552568251,2.61076889932111,2.0245,0.9170,-1.2078,5.8728
Glaciers,region_4,2100,0.889635301873607,0.232850840803888,1.54920858041621,0.507966628430384,1.27302305235701,0.619634808329105,1.16055683920629,0.8931,0.4020,-0.8657,2.0500
Glaciers,region_5,2100,1.38714344616281,0.37272500016691,2.41754536185468,0.797070695302034,1.98300966709978,0.969512308514387,1.80769553076317,1.3986,0.6259,-0.8797,3.3600
Glaciers,region_6,2100,0.353168641233318,0.0096453207611112,0.692188487109608,0.153849569968816,0.551754880990045,0.212272101517564,0.493766412308433,0.3538,0.2052,-0.4060,0.9100
Glaciers,region_7,2100,1.12640906403948,0.362667676109638,1.64858416587417,0.692432605115133,1.48792320160715,0.823254067680931,1.39490107612636,1.1968,0.4269,-0.4323,1.7300
Glaciers,region_8,2100,0.0414544979759363,0.0175450714956258,0.0628418330004187,0.0276328944108603,0.0546989696311894,0.0317046933482479,0.0509459229337285,0.0425,0.0142,-0.0104,0.0700
Glaciers,region_9,2100,1.6313813132026,0.571362661256473,2.67295655797865,1.01534638691038,2.24642241077068,1.19561728507994,2.06710932900793,1.6344,0.6446,-0.6039,3.2000
Glaciers,region_10,2100,0.0211496792951177,0.00584836955462823,0.0287037361134536,0.0127954257418277,0.0267936810721892,0.0154420853470967,0.0255046091976689,0.0247,0.0072,-0.0103,0.0300
Glaciers,region_11,2100,0.0239486507212469,0.0157819611282003,0.0288742714577142,0.0193820534995193,0.0274720582234412,0.0207749493175746,0.0266095416805095,0.0254,0.0044,0.0076,0.0300
Glaciers,region_12,2100,0.0126029779225885,0.00839337678394744,0.016754511325542,0.010137414320714,0.0150465963685189,0.0108618414768632,0.0143185129000029,0.0131,0.0026,0.0042,0.0200
Glaciers,region_13,2100,0.553555611079537,0.24989100809937,0.758455508619156,0.381183704489729,0.696021252958378,0.433216920832457,0.659550706065215,0.5770,0.1740,-0.0992,0.7900
Glaciers,region_14,2100,0.432091389193199,0.202817586136974,0.63334969141846,0.299503569849164,0.558341455417179,0.338566715450861,0.522795875628786,0.4376,0.1395,-0.2738,0.6900
Glaciers,region_15,2100,0.1433671863578,0.0518330070140152,0.201457316025801,0.0917229508755809,0.184473645236954,0.107431012020376,0.174189937205111,0.1545,0.0509,-0.0602,0.2100
Glaciers,region_16,2100,0.0136692509550652,0.00384994662444945,0.018911474063785,0.00824572913198891,0.0175279407215814,0.00993189754863812,0.0166218847257272,0.0158,0.0049,-0.0089,0.0200
Glaciers,region_17,2100,0.503343472257918,0.140232131297533,0.869073464047203,0.292443430907214,0.715163055918297,0.354177605170446,0.652970969169283,0.5063,0.2217,-0.4717,1.2471
Glaciers,region_18,2100,0.00888455178844314,0.00321366992557653,0.014600770670906,0.00560079526943085,0.0122111302543369,0.00656366768818219,0.0112314182969663,0.0094,0.0034,-0.0029,0.0200
Glaciers,region_19,2100,1.85828764208036,-0.0521508712469093,3.77232935005479,0.749702716941519,2.96806023231375,1.07453223022829,2.64263325810917,1.8426,1.1767,-2.5748,5.9280
Glaciers,ALL,2100,13.2183531040616,9.23882224362182,17.6976626719166,10.8940934107621,15.7652468017233,11.4898815248679,15.0101648221735,13.318,2.586,3.719,23.753
LAND_ICE,ALL,2100,24.666157399734,10.9826138765411,39.6902541278526,16.6371813094653,33.0222942514171,19.0128081019588,30.4781801719737,24.890,9.253,-20.973,94.608
