ice_source,region,year,q0.5,q0.05,q0.95,q0.17,q0.83,q0.25,q0.75,sample_mean,sample_sd,sample_min, sample_max
GrIS,ALL,2016,0.0320185538649309,-0.0212846947436429,0.0876888140449347,0.00153692734973766,0.0630841698741178,0.0105031332644406,0.0538083462264331,0.0311,0.0361,-0.0771,0.1986
AIS,WAIS,2016,0.0374986596600373,-0.215928293873924,0.289718503622883,-0.10920121555292,0.183848973902117,-0.0661418769090845,0.140970607087045,0.0383,0.1543,-0.4478,0.4356
AIS,EAIS,2016,-0.0235296083752332,-0.163329194611547,0.117155307767949,-0.104673663908283,0.057877794084918,-0.0809070831322717,0.0339754653628178,-0.0204,0.0829,-0.3010,0.2094
AIS,PEN,2016,-0.0142252546640193,-0.114474395055929,0.086531924062936,-0.0724055285719289,0.0441079674103436,-0.0553622222960167,0.0269862143860789,-0.0106,0.0595,-0.2262,0.2618
AIS,ALL,2016,0.00251883686480601,-0.300870861919384,0.334392185150114,-0.173649120180711,0.181607417343383,-0.123349744741936,0.136635039586183,0.007,0.190,-0.676,0.542
Glaciers,region_1,2016,0.0175088000629132,-0.00894715548910834,0.0439619251215317,0.00216304712166894,0.0328537086807655,0.00666301925734077,0.0283538319166513,0.0163,0.0162,-0.0309,0.0598
Glaciers,region_2,2016,0.00324503095442058,-0.00110020220746238,0.00752376847772209,0.000737410011068247,0.00575968718097967,0.00149581342368571,0.00503063263927982,0.0037,0.0026,-0.0032,0.0112
Glaciers,region_3,2016,0.011316671960283,-0.00875723965355,0.0313912245434248,-0.000327036092676841,0.0229669425166411,0.0030828454000406,0.0195463068331835,0.0123,0.0119,-0.0213,0.0494
Glaciers,region_4,2016,0.00534706159880569,-0.00456271340058176,0.0152744997938887,-0.000403743775523818,0.0111106346221778,0.00127690046673249,0.00941238496152871,0.0060,0.0058,-0.0096,0.0245
Glaciers,region_5,2016,0.0110145866506618,-0.00798058842100248,0.0300104523708936,-4.45845223978072e-06,0.0220338122831728,0.00322675770614288,0.0188029024865768,0.0112,0.0117,-0.0197,0.0493
Glaciers,region_6,2016,0.00172862312368965,-0.00267971054808845,0.00616272155050996,-0.000846236774451453,0.00428787269866856,-9.35559124985775e-05,0.0035185338709801,0.0023,0.0026,-0.0054,0.0102
Glaciers,region_7,2016,0.00882322518719177,-0.00421405329973335,0.0218621590625367,0.00126191001116801,0.0163795244671821,0.00348525478602578,0.0141694655091138,0.0091,0.0077,-0.0165,0.0320
Glaciers,region_8,2016,-3.93818394361932e-05,-0.00108923644313192,0.000618803931063462,-0.000440939107822219,0.000362175428949833,-0.000343591891243789,0.000264828212371402,0.0004,0.0005,-0.0011,0.0017
Glaciers,region_9,2016,0.00932158508360554,-0.00358001921677948,0.0222370512311403,0.00182848673865769,0.0168149510737128,0.00402358468814198,0.0146137935184494,0.0101,0.0081,-0.0159,0.0321
Glaciers,region_10,2016,-1.6183447260843e-05,-0.000526911035625016,0.000469124254178564,-0.000372075761649742,0.000339708867128056,-0.000285798836949403,0.000253431942427717,0.0004,0.0004,-0.0008,0.0017
Glaciers,region_11,2016,9.20735506119219e-05,-0.000477408066348333,0.0012200343625471,-0.000325546301825599,0.000543202476226028,-0.000224305125477109,0.000408452226700952,0.0007,0.0004,-0.0006,0.0021
Glaciers,region_12,2016,-1.52249607515806e-06,-0.000452895047491314,0.000449850055340998,-0.000332529033780339,0.000329484041630023,-0.000252285024639689,0.000249240032489373,0.0003,0.0002,-0.0003,0.0010
Glaciers,region_13,2016,0.00613114364574891,-0.00179119446776175,0.0140625832370311,0.00155079141423267,0.0107250166943092,0.00288044616945964,0.00937374923666967,0.0068,0.0049,-0.0070,0.0212
Glaciers,region_14,2016,0.00388495827885108,-0.00281889058786649,0.010554625598541,-8.84039490138566e-06,0.00777146861656622,0.00113345322798542,0.00662513722691526,0.0043,0.0042,-0.0080,0.0165
