ice_source,region,year,q0.5,q0.05,q0.95,q0.17,q0.83,q0.25,q0.75,sample_mean,sample_sd,sample_min, sample_max
GrIS,ALL,2016,0.032037160781201,-0.0213363243421056,0.0877178973373858,0.00152642357662927,0.0631193535051996,0.0105025074460751,0.0538405948873928,0.0342,0.0362,-0.1370,0.2068
AIS,WAIS,2016,0.0374682211976913,-0.215960494466686,0.289689320658596,-0.109232559476171,0.183819330484538,-0.066172948994545,0.140940758571391,0.0273,0.1460,-0.3941,0.4268
AIS,EAIS,2016,-0.0235105265267675,-0.1633109442745,0.117175009628513,-0.104654931247192,0.0578973117654633,-0.0808882831566927,0.0339948423747927,-0.0227,0.0862,-0.2924,0.2347
AIS,PEN,2016,-0.0142217451801864,-0.114471489922323,0.0865360083334909,-0.07240236894163,0.0441117873871637,-0.0553589587199711,0.0269899510194056,-0.0164,0.0600,-0.1833,0.1541
AIS,ALL,2016,-0.00312569978100644,-0.315419507851772,0.24683241191113,-0.177259632468519,0.16976388786418,-0.130621911985888,0.12152015266759,-0.012,0.176,-0.667,0.411
Glaciers,region_1,2016,0.0175041907768037,-0.00895294543547417,0.0439581165455362,0.00215778240885874,0.0328495632497643,0.00665806783621966,0.0283496469969697,0.0170,0.0166,-0.0425,0.0567
Glaciers,region_2,2016,0.00324359028236598,-0.00110160729071137,0.00752183127888346,0.000736082681670615,0.00575811282353494,0.001494126205448,0.00502921671927893,0.0035,0.0027,-0.0039,0.0133
Glaciers,region_3,2016,0.011315410939867,-0.00876214369176958,0.0313923185182111,-0.000330102364507253,0.0229672025378676,0.00308028092159008,0.0195461536149954,0.0118,0.0120,-0.0233,0.0451
Glaciers,region_4,2016,0.0053395982392647,-0.00457180427674747,0.015268155415343,-0.000411083932683758,0.0111036674500196,0.00126894853385239,0.00940549521998298,0.0062,0.0059,-0.0117,0.0243
Glaciers,region_5,2016,0.0109658215601025,-0.00802843446845467,0.0299607344607482,-5.25913662926463e-05,0.0219845789008463,0.00317777109480013,0.0187531202657009,0.0119,0.0119,-0.0223,0.0501
