ice_source,region,year,q0.5,q0.05,q0.95,q0.17,q0.83,q0.25,q0.75,sample_mean,sample_sd,sample_min, sample_max
GrIS,ALL,2100,7.24563801423053,-0.285578221005411,16.7108523809126,2.90493442032063,12.0157971030656,4.16492033597578,10.5250364849448,7.6480,6.2798,-35.6776,57.3309
AIS,WAIS,2100,11.3058445570152,1.71104305277517,24.0050684160403,5.652600786332,17.6773224753327,7.27601261297546,15.6640696320331,11.9335,7.1913,-10.1702,69.1830
AIS,EAIS,2100,8.31379889177265,-0.739133317020872,20.0133092046797,2.98083542135467,14.2865620050165,4.51265138249921,12.4105604686283,8.9167,6.6665,-9.0828,64.7110
AIS,PEN,2100,1.941059218403,0.999716510923177,2.87520314819608,1.39682106715238,2.48301955724762,1.55673987160446,2.32425711605213,1.9507,0.5827,-0.3568,3.9921
AIS,ALL,2100,21.3281276766897,7.49157750333933,42.5755950152258,13.2442049731949,31.4300777414162,15.4634199051311,28.050498020363,22.801,11.690,-9.648,124.265
Glaciers,region_1,2100,1.95363832799167,0.668831195090625,3.25255674368436,1.20661210597628,2.70640277743069,1.4250299639949,2.48518655726239,1.9501,0.8143,-0.8097,4.3300
Glaciers,region_2,2100,0.194184132680157,0.118633376225718,0.249662450115293,0.151024430559304,0.231646051521064,0.163943285190958,0.221738803839364,0.1991,0.0440,0.0449,0.2600
Glaciers,region_3,2100,1.99325681978358,0.510599652740466,3.51577392685287,1.13001870377272,2.86923345954232,1.38202552568251,2.61076889932111,1.9999,0.9179,-1.2226,5.4065
Glaciers,region_4,2100,0.889635301873607,0.232850840803888,1.54920858041621,0.507966628430384,1.27302305235701,0.619634808329105,1.16055683920629,0.8915,0.3993,-0.4024,2.0500
Glaciers,region_5,2100,1.38714344616281,0.37272500016691,2.41754536185468,0.797070695302034,1.98300966709978,0.969512308514387,1.80769553076317,1.3892,0.6279,-0.9224,3.3600
Glaciers,region_6,2100,0.353168641233318,0.0096453207611112,0.692188487109608,0.153849569968816,0.551754880990045,0.212272101517564,0.493766412308433,0.3575,0.2104,-0.3865,0.9100
Glaciers,region_7,2100,1.12640906403948,0.362667676109638,1.64858416587417,0.692432605115133,1.48792320160715,0.823254067680931,1.39490107612636,1.1864,0.4363,-0.6044,1.7300
Glaciers,region_8,2100,0.0414544979759363,0.0175450714956258,0.0628418330004187,0.0276328944108603,0.0546989696311894,0.0317046933482479,0.0509459229337285,0.0422,0.0145,-0.0129,0.0700
Glaciers,region_9,2100,1.6313813132026,0.571362661256473,2.67295655797865,1.01534638691038,2.24642241077068,1.19561728507994,2.06710932900793,1.6435,0.6492,-0.7554,3.2000
Glaciers,region_10,2100,0.0211496792951177,0.00584836955462823,0.0287037361134536,0.0127954257418277,0.0267936810721892,0.0154420853470967,0.0255046091976689,0.0246,0.0073,-0.0128,0.0300
Glaciers,region_11,2100,0.0239486507212469,0.0157819611282003,0.0288742714577142,0.0193820534995193,0.0274720582234412,0.0207749493175746,0.0266095416805095,0.0254,0.0044,0.0065,0.0300
Glaciers,region_12,2100,0.0126029779225885,0.00839337678394744,0.016754511325542,0.010137414320714,0.0150465963685189,0.0108618414768632,0.0143185129000029,0.0132,0.0026,0.0036,0.0200
Glaciers,region_13,2100,0.553555611079537,0.24989100809937,0.758455508619156,0.381183704489729,0.696021252958378,0.433216920832457,0.659550706065215,0.5776,0.1730,-0.1723,0.7900
Glaciers,region_14,2100,0.432091389193199,0.202817586136974,0.63334969141846,0.299503569849164,0.558341455417179,0.338566715450861,0.522795875628786,0.4383,0.1373,-0.1008,0.6900
Glaciers,region_15,2100,0.1433671863578,0.0518330070140152,0.201457316025801,0.0917229508755809,0.184473645236954,0.107431012020376,0.174189937205111,0.1529,0.0505,-0.0485,0.2100
Glaciers,region_16,2100,0.0136692509550652,0.00384994662444945,0.018911474063785,0.00824572913198891,0.0175279407215814,0.00993189754863812,0.0166218847257272,0.0158,0.0049,-0.0127,0.0200
Glaciers,region_17,2100,0.503343472257918,0.140232131297533,0.869073464047203,0.292443430907214,0.715163055918297,0.354177605170446,0.652970969169283,0.5067,0.2224,-0.3093,1.2523
Glaciers,region_18,2100,0.00888455178844314,0.00321366992557653,0.014600770670906,0.00560079526943085,0.0122111302543369,0.00656366768818219,0.0112314182969663,0.0095,0.0034,-0.0019,0.0200
Glaciers,region_19,2100,1.85828764208036,-0.0521508712469093,3.77232935005479,0.749702716941519,2.96806023231375,1.07453223022829,2.64263325810917,1.8392,1.1717,-2.0696,5.5244
Glaciers,ALL,2100,13.2040003326855,9.20344134855148,17.525369297657,10.8727476814449,15.7094110523526,11.5042915295879,14.917603085508,13.262,2.558,5.180,23.480
LAND_ICE,ALL,2100,42.4398780047608,24.8906797818665,66.9552911130811,32.1708816118911,54.3498788807481,35.0555273259813,50.5064483825439,43.711,13.522,-4.408,148.090
