ice_source,region,year,mean,sd
Glaciers,region_1,2016,0.021,0.016
Glaciers,region_2,2016,0.004,0.003
Glaciers,region_3,2016,0.015,0.012
Glaciers,region_4,2016,0.007,0.006
Glaciers,region_5,2016,0.012,0.012
Glaciers,region_6,2016,0.002,0.003
Glaciers,region_7,2016,0.009,0.007
Glaciers,region_8,2016,0.000,0.000
Glaciers,region_9,2016,0.010,0.006
Glaciers,region_10,2016,0.000,0.000
Glaciers,region_11,2016,0.001,0.000
Glaciers,region_12,2016,0.000,0.000
Glaciers,region_13,2016,0.007,0.005
Glaciers,region_14,2016,0.004,0.005
Glaciers,region_15,2016,0.003,0.002
Glaciers,region_16,2016,0.001,0.001
Glaciers,region_17,2016,0.005,0.006
Glaciers,region_18,2016,0.000,0.000
Glaciers,region_19,2016,0.024,0.026
Glaciers,ALL,2016,0.125,0.038
Glaciers,region_1,2017,0.039,0.028
Glaciers,region_2,2017,0.008,0.005
Glaciers,region_3,2017,0.026,0.018
Glaciers,region_4,2017,0.014,0.012
Glaciers,region_5,2017,0.025,0.021
Glaciers,region_6,2017,0.005,0.005
Glaciers,region_7,2017,0.017,0.011
Glaciers,region_8,2017,0.001,0.001
Glaciers,region_9,2017,0.019,0.011
Glaciers,region_10,2017,0.001,0.001
Glaciers,region_11,2017,0.001,0.001
Glaciers,region_12,2017,0.001,0.000
Glaciers,region_13,2017,0.014,0.008
Glaciers,region_14,2017,0.009,0.007
Glaciers,region_15,2017,0.005,0.004
Glaciers,region_16,2017,0.001,0.001
Glaciers,region_17,2017,0.010,0.011
Glaciers,region_18,2017,0.000,0.000
Glaciers,region_19,2017,0.048,0.041
Glaciers,ALL,2017,0.245,0.063
Glaciers,region_1,2018,0.057,0.036
Glaciers,region_2,2018,0.012,0.006
Glaciers,region_3,2018,0.039,0.025
Glaciers,region_4,2018,0.022,0.017
Glaciers,region_5,2018,0.037,0.030
Glaciers,region_6,2018,0.008,0.007
Glaciers,region_7,2018,0.024,0.014
Glaciers,region_8,2018,0.001,0.001
