ice_source,region,year,q0.5,q0.05,q0.95,q0.17,q0.83,q0.25,q0.75,sample_mean,sample_sd,sample_min, sample_max
GrIS,ALL,2016,0.0322258413036234,-0.0212576992376956,0.0876426212997144,0.00170468148028741,0.0632405569632533,0.0106917272789447,0.0539929708452707,0.0334,0.0351,-0.0883,0.2193
AIS,WAIS,2016,0.0335137721640566,-0.0978683723604842,0.164691958094691,-0.0424401142621398,0.109405240546911,-0.0201351602020637,0.0871320703864309,0.0358,0.0830,-0.1827,0.2955
AIS,EAIS,2016,0.0119129119038729,-0.0823472899318281,0.109518267077165,-0.0429283529137625,0.0677281240513143,-0.0269135643454013,0.0512094323581245,0.0104,0.0577,-0.1812,0.1726
AIS,PEN,2016,-0.00666815049046031,-0.0438062611208751,0.0311603286950677,-0.0282364988953261,0.015105782550593,-0.021926710998542,0.00868826610879688,-0.0071,0.0243,-0.0913,0.0596
AIS,ALL,2016,0.0465714633734245,-0.130135690039857,0.219237316451517,-0.0670393950158691,0.137457753376584,-0.0371214901675333,0.112436082274995,0.039,0.108,-0.255,0.342
Glaciers,region_1,2016,0.0175088000629132,-0.00894715548910834,0.0439619251215317,0.00216304712166894,0.0328537086807655,0.00666301925734077,0.0283538319166513,0.0191,0.0168,-0.0356,0.0629
Glaciers,region_2,2016,0.00324503095442058,-0.00110020220746238,0.00752376847772209,0.000737410011068247,0.00575968718097967,0.00149581342368571,0.00503063263927982,0.0037,0.0025,-0.0035,0.0112
Glaciers,region_3,2016,0.011316671960283,-0.00875723965355,0.0313912245434248,-0.000327036092676841,0.0229669425166411,0.0030828454000406,0.0195463068331835,0.0120,0.0123,-0.0328,0.0509
Glaciers,region_4,2016,0.00534706159880569,-0.00456271340058176,0.0152744997938887,-0.000403743775523818,0.0111106346221778,0.00127690046673249,0.00941238496152871,0.0060,0.0059,-0.0090,0.0227
Glaciers,region_5,2016,0.0110145866506618,-0.00798058842100248,0.0300104523708936,-4.45845223978072e-06,0.0220338122831728,0.00322675770614288,0.0188029024865768,0.0119,0.0118,-0.0290,0.0461
Glaciers,region_6,2016,0.00172862312368965,-0.00267971054808845,0.00616272155050996,-0.000846236774451453,0.00428787269866856,-9.35559124985775e-05,0.0035185338709801,0.0024,0.0027,-0.0070,0.0110
Glaciers,region_7,2016,0.00882322518719177,-0.00421405329973335,0.0218621590625367,0.00126191001116801,0.0163795244671821,0.00348525478602578,0.0141694655091138,0.0098,0.0080,-0.0125,0.0363
Glaciers,region_8,2016,-3.93818394361932e-05,-0.00108923644313192,0.000618803931063462,-0.000440939107822219,0.000362175428949833,-0.000343591891243789,0.000264828212371402,0.0004,0.0005,-0.0010,0.0018
Glaciers,region_9,2016,0.00932158508360554,-0.00358001921677948,0.0222370512311403,0.00182848673865769,0.0168149510737128,0.00402358468814198,0.0146137935184494,0.0103,0.0077,-0.0178,0.0353
Glaciers,region_10,2016,-1.6183447260843e-05,-0.000526911035625016,0.000469124254178564,-0.000372075761649742,0.000339708867128056,-0.000285798836949403,0.000253431942427717,0.0004,0.0004,-0.0006,0.0015
Glaciers,region_11,2016,9.20735506119219e-05,-0.000477408066348333,0.0012200343625471,-0.000325546301825599,0.000543202476226028,-0.000224305125477109,0.000408452226700952,0.0007,0.0005,-0.0006,0.0021
Glaciers,region_12,2016,-1.52249607515806e-06,-0.000452895047491314,0.000449850055340998,-0.000332529033780339,0.000329484041630023,-0.000252285024639689,0.000249240032489373,0.0003,0.0002,-0.0003,0.0013
Glaciers,region_13,2016,0.00613114364574891,-0.00179119446776175,0.0140625832370311,0.00155079141423267,0.0107250166943092,0.00288044616945964,0.00937374923666967,0.0062,0.0047,-0.0068,0.0191
Glaciers,region_14,2016,0.00388495827885108,-0.00281889058786649,0.010554625598541,-8.84039490138566e-06,0.00777146861656622,0.00113345322798542,0.00662513722691526,0.0045,0.0041,-0.0056,0.0176
Glaciers,region_15,2016,0.00201040987028422,-0.000881182435806746,0.00490614184104037,0.000362381338504434,0.00366433392445653,0.000827071975783491,0.0031926243648879,0.0026,0.0017,-0.0038,0.0080
Glaciers,region_16,2016,2.42052707319939e-05,-0.000913891330410204,0.00109671593757538,-0.000392834042327473,0.000441244583791461,-0.000291733602797905,0.000340144144261893,0.0005,0.0005,-0.0009,0.0018
Glaciers,region_17,2016,0.00413423286597196,-0.00510240982401779,0.0133549431779706,-0.00122020397588926,0.00947430822729151,0.000353682478007312,0.00792251781333211,0.0048,0.0056,-0.0131,0.0201
Glaciers,region_18,2016,-6.01197217223023e-05,-0.00103422481398948,0.000444006246076114,-0.000429812098107808,0.000309572654663203,-0.000340189703832534,0.000219950260387929,0.0002,0.0003,-0.0006,0.0009
Glaciers,region_19,2016,0.0154641745782949,-0.0195541620803137,0.0504792711299363,-0.00485337237307786,0.0357804369098168,0.001101801238385,0.0298259058583229,0.0163,0.0216,-0.0484,0.0894
Glaciers,ALL,2016,0.11408133729625,0.0536964767492089,0.167133562988705,0.0779749697645813,0.147707324877859,0.0864576482955826,0.136358869847047,0.112,0.035,0.020,0.217
LAND_ICE,ALL,2016,0.18894188756402,-0.0176139480821542,0.369818838367291,0.0680309641947816,0.296554597396758,0.105695505846007,0.265530774438886,0.185,0.120,-0.182,0.530
GrIS,ALL,2017,0.0459103748038368,-0.0530301050818994,0.149402122628112,-0.010540116901338,0.103550317638622,0.00606699524688943,0.0863164176358618,0.0441,0.0620,-0.1660,0.2886
AIS,WAIS,2017,0.0643182058913405,-0.113398720531732,0.241410512822342,-0.0382424670284042,0.166689077809347,-0.00809182041059068,0.136635365708911,0.0620,0.1063,-0.2235,0.3716
AIS,EAIS,2017,0.0106585407826221,-0.0762666964886578,0.100902993108406,-0.0399675401225658,0.0622918318857266,-0.0251975928282819,0.0470059595460721,0.0127,0.0558,-0.1315,0.1881
AIS,PEN,2017,0.00168579960824288,-0.0453465699132978,0.049083465468234,-0.0255924305617628,0.0290758962804169,-0.0176002842756841,0.0210268620837599,0.0029,0.0296,-0.0738,0.0893
AIS,ALL,2017,0.0796657806335425,-0.119127296625454,0.280253831068876,-0.0344938531300021,0.194390904896845,-0.00780377559353382,0.159517095319858,0.078,0.121,-0.280,0.470
Glaciers,region_1,2017,0.0288352196837141,-0.0197216591595165,0.0774237909261673,0.000664245970423576,0.0570199740004034,0.00891900465446047,0.048756861315722,0.0268,0.0310,-0.0678,0.1016
Glaciers,region_2,2017,0.00722263027105601,-0.00045731799331114,0.0149392118763544,0.00275305548702402,0.0116900986952881,0.00405896619663733,0.0103771071441627,0.0075,0.0046,-0.0054,0.0221
Glaciers,region_3,2017,0.0211068690482437,-0.0115597269167004,0.0537948814038898,0.00215156308006754,0.0400678068778999,0.00770815997443893,0.0345055202866232,0.0210,0.0197,-0.0365,0.0769
Glaciers,region_4,2017,0.0110688789014522,-0.00660254805614791,0.0287455095389366,0.000812602194389235,0.0213215513918354,0.00381889491710753,0.0183164976659258,0.0113,0.0110,-0.0183,0.0496
Glaciers,region_5,2017,0.0210016803899784,-0.0134994343320564,0.0555038001519531,0.000982161585131308,0.0410214947287467,0.00685043201250592,0.0351530613945682,0.0223,0.0200,-0.0433,0.0834
Glaciers,region_6,2017,0.00421336461452823,-0.00342974341083536,0.011895990189646,-0.00023410372476693,0.00865900689522387,0.00106546143178713,0.0073547469124535,0.0049,0.0045,-0.0066,0.0174
Glaciers,region_7,2017,0.0175726025517318,-0.0064635079154098,0.0416120729297389,0.00362700935123179,0.0315149662408323,0.00771331436228893,0.0274294534718738,0.0196,0.0144,-0.0205,0.0664
Glaciers,region_8,2017,0.00045043052541407,-0.00102389597922253,0.00191509137190246,-0.000333529097767471,0.00128044806708684,-0.000143478280026492,0.00107847804660406,0.0009,0.0008,-0.0015,0.0031
Glaciers,region_9,2017,0.0181115598257111,-0.00343263599561196,0.0396601570330005,0.00561250465289841,0.0306107060049049,0.00927409531335406,0.0269509789095599,0.0185,0.0131,-0.0211,0.0587
Glaciers,region_10,2017,0.000284877955866462,-0.00105926587590884,0.0014679110261708,-0.000377759203114986,0.00112915195433113,-0.000217119891846756,0.000903312573104673,0.0008,0.0007,-0.0013,0.0030
Glaciers,region_11,2017,0.000774276983732956,-0.000623648077835565,0.0022679051050134,-0.000144714003084414,0.00150433563032128,0.0001062224446295,0.00132520468475699,0.0012,0.0008,-0.0011,0.0032
Glaciers,region_12,2017,1.82674122812643e-05,-0.000466491433019529,0.000553199940640745,-0.000337222407605984,0.000373757232168513,-0.000251043057330288,0.000287577881892816,0.0006,0.0004,-0.0006,0.0016
Glaciers,region_13,2017,0.0130887979594273,-0.000466229677881894,0.0266533456685699,0.00521584376344299,0.0209646196028507,0.00753067521958323,0.0186513456929546,0.0131,0.0082,-0.0139,0.0365
Glaciers,region_14,2017,0.00863347551165647,-0.001929775636727,0.0191927080266522,0.00252217784445003,0.0147567219932092,0.00430605777047523,0.0129649230960561,0.0090,0.0069,-0.0103,0.0282
Glaciers,region_15,2017,0.00425693333546761,-0.000848630707015989,0.00934508204342489,0.00130550433211537,0.00721862177606231,0.00216302974366766,0.00634249939361622,0.0046,0.0031,-0.0090,0.0129
Glaciers,region_16,2017,0.000617237089510247,-0.00108945342434348,0.00226331228465646,-0.000321860560865741,0.00146643255210564,-9.07097245285438e-05,0.00126056698541584,0.0012,0.0009,-0.0016,0.0040
Glaciers,region_17,2017,0.00859218415808244,-0.00835348917791442,0.0255296180419078,-0.00124084648770235,0.0184195262963677,0.00164361225410222,0.0155378054508622,0.0098,0.0104,-0.0196,0.0409
Glaciers,region_18,2017,-6.28862432864946e-05,-0.00107086736521666,0.000450017563935968,-0.000439015701916301,0.000313243215343312,-0.00034783280285453,0.00022206031628154,0.0003,0.0004,-0.0007,0.0013
Glaciers,region_19,2017,0.0305103506181396,-0.0329831828607242,0.0940041770111884,-0.00632046227481297,0.067341089326066,0.00447609328833598,0.0565448252312079,0.0333,0.0396,-0.1519,0.1257
Glaciers,ALL,2017,0.206077822309535,0.0927825101713535,0.307797505032076,0.146084736696992,0.268505868560553,0.166808370643372,0.249654902746709,0.207,0.064,0.014,0.374
LAND_ICE,ALL,2017,0.31832610585262,0.0731687415755614,0.583022444140424,0.189451072624965,0.473892841529831,0.232294652910366,0.429484718460435,0.328,0.151,-0.106,0.731
GrIS,ALL,2018,0.0997892726934601,-0.0162017599930191,0.227492923584258,0.0338401772891082,0.168582042774561,0.0532009471292781,0.147710185903352,0.0984,0.0825,-0.2511,0.5782
AIS,WAIS,2018,0.089609461220364,-0.127724702848396,0.305452695589584,-0.035596953485413,0.214374085681097,0.00125131550483834,0.177753351729967,0.0849,0.1267,-0.2775,0.5294
AIS,EAIS,2018,0.0312971743719082,-0.118377286003779,0.183579776562292,-0.0556754394706816,0.119083976790054,-0.0302373517155267,0.0932306439891266,0.0374,0.0906,-0.2270,0.2930
AIS,PEN,2018,0.00170713567860754,-0.0485292466077112,0.052149459716623,-0.0274099064428298,0.0308875613779039,-0.0188752218105369,0.022318215766801,0.0036,0.0300,-0.1010,0.0826
AIS,ALL,2018,0.130324758513685,-0.140943121809304,0.403889191312806,-0.027611527339992,0.277733602181863,0.0146449511398426,0.233662305409189,0.126,0.160,-0.312,0.546
Glaciers,region_1,2018,0.0408791261839197,-0.0196967535035826,0.10248460356116,0.00565098125470271,0.0764533105055897,0.0159465149778018,0.0659850972509972,0.0431,0.0379,-0.0805,0.1618
Glaciers,region_2,2018,0.0106634546119357,-2.78240875886598e-05,0.0213401467147802,0.00447817221443436,0.0168635546633857,0.00628310207716927,0.0150469275057634,0.0110,0.0064,-0.0150,0.0295
Glaciers,region_3,2018,0.0332498964862826,-0.0134413088362751,0.0799853610932942,0.00615917879084184,0.0603524608680775,0.0140985198112736,0.0524062488202154,0.0358,0.0280,-0.0716,0.1289
Glaciers,region_4,2018,0.016155312527254,-0.00875543972950864,0.0411125152159462,0.00170168548944239,0.0306218529770384,0.00593505995393497,0.0263797519707157,0.0162,0.0156,-0.0317,0.0600
Glaciers,region_5,2018,0.0294163560010208,-0.0180967017897537,0.077070159930615,0.00184058934122181,0.0570397843687025,0.00991876212526704,0.0489376160160697,0.0292,0.0291,-0.0467,0.1320
Glaciers,region_6,2018,0.00703298593261997,-0.00364452154247888,0.0177178738625652,0.000831346291012199,0.0132333229145043,0.00265400712563967,0.0114098815357589,0.0075,0.0065,-0.0137,0.0276
Glaciers,region_7,2018,0.0262382159942347,-0.0065598819060991,0.0590522333497002,0.00720778764620685,0.0452706578733514,0.0127856101711343,0.0396914382871939,0.0277,0.0201,-0.0378,0.1082
Glaciers,region_8,2018,0.000667608248143536,-0.00111852529336698,0.00236707066057993,-0.000322478560326556,0.00161434838764623,-7.62484259609417e-05,0.00133507995403823,0.0011,0.0010,-0.0019,0.0041
Glaciers,region_9,2018,0.0288069914657946,-0.00474528649472143,0.0623598190118977,0.0093444503843972,0.0482715527905508,0.0150470749178188,0.0425642655421277,0.0286,0.0207,-0.0374,0.0854
Glaciers,region_10,2018,0.000613057694288515,-0.00121453920875635,0.0023564836728591,-0.000386352358225975,0.0015779101831013,-0.000141390192962576,0.00131035723734301,0.0011,0.0010,-0.0016,0.0044
Glaciers,region_11,2018,0.00127658286306632,-0.000502731447780381,0.00324319989129851,0.000151998853269143,0.00237315479675425,0.000546755736227545,0.00209756945856562,0.0018,0.0011,-0.0023,0.0051
Glaciers,region_12,2018,0.000115823792628787,-0.000494384235821783,0.0012734720085893,-0.000331662094901631,0.000716643237410158,-0.000223180667621529,0.000454828252879104,0.0007,0.0005,-0.0011,0.0022
Glaciers,region_13,2018,0.0199535238830286,0.00111817701980387,0.0387887733430337,0.00902641643486181,0.0308807615794048,0.0122306687844808,0.0276751523450183,0.0208,0.0113,-0.0127,0.0501
Glaciers,region_14,2018,0.0132872867012993,-0.00181541000158743,0.0283816466677485,0.00453563606485611,0.0220506621044032,0.00709319652425741,0.0194738650594185,0.0134,0.0093,-0.0127,0.0411
Glaciers,region_15,2018,0.00648447076258111,1.67641094360731e-06,0.0129678801782034,0.00273259777413513,0.0102387229896306,0.00382902179269637,0.00914125241585372,0.0071,0.0038,-0.0024,0.0187
Glaciers,region_16,2018,0.00105274221780634,-0.00122095850027247,0.00330559329008341,-0.000251382185740905,0.00234140306513916,0.000114113973636422,0.00199806743307015,0.0016,0.0013,-0.0030,0.0060
Glaciers,region_17,2018,0.0134610842478271,-0.0107641881573989,0.0376833860391897,-0.000588083418290038,0.0275077717170422,0.00353106215359377,0.0233925580015292,0.0149,0.0143,-0.0208,0.0560
Glaciers,region_18,2018,-2.08964957423586e-05,-0.00105479459394571,0.000861164752298727,-0.000428435850275182,0.000386642858790465,-0.000329638430994498,0.00028784543950978,0.0005,0.0005,-0.0009,0.0017
Glaciers,region_19,2018,0.0465976236865272,-0.0438962300165322,0.137093429822052,-0.0058972892268273,0.0990931900248025,0.00949084998347061,0.0837056604993799,0.0452,0.0534,-0.1199,0.2118
Glaciers,ALL,2018,0.309062480434787,0.16433272292009,0.439726785689182,0.225542427341777,0.389713277249027,0.251827770734024,0.362467013135322,0.307,0.084,0.054,0.608
