ice_source,region,year,q0.5,q0.05,q0.95,q0.17,q0.83,q0.25,q0.75,sample_mean,sample_sd,sample_min, sample_max
GrIS,ALL,2016,0.0322199469694207,-0.0212827098110299,0.0876868698206332,0.00168258577574805,0.0632631372394018,0.0106729968844615,0.054006406102748,0.0370,0.0339,-0.1079,0.1872
AIS,WAIS,2016,0.0334594927486638,-0.0979214335498401,0.164635490888297,-0.0424933522913697,0.109350340465671,-0.0201888413499927,0.0870772561325198,0.0308,0.0775,-0.1717,0.2635
AIS,EAIS,2016,0.0120168079366052,-0.0822076779025421,0.109596072694173,-0.0428029999894361,0.0678139107047731,-0.0267946042396961,0.0512994886398617,0.0135,0.0584,-0.1548,0.2297
AIS,PEN,2016,-0.0066901331270705,-0.0438244225551246,0.0311356426723733,-0.0282560041893419,0.0150819907010548,-0.0219471515413651,0.00866465460651345,-0.0073,0.0233,-0.0699,0.0579
AIS,ALL,2016,0.0333569296551846,-0.121908887306755,0.207706243008218,-0.05787268584403,0.1326619939853,-0.0334745717577093,0.105317687489603,0.037,0.099,-0.211,0.323
Glaciers,region_1,2016,0.0175041907768037,-0.00895294543547417,0.0439581165455362,0.00215778240885874,0.0328495632497643,0.00665806783621966,0.0283496469969697,0.0189,0.0159,-0.0199,0.0719
Glaciers,region_2,2016,0.00324359028236598,-0.00110160729071137,0.00752183127888346,0.000736082681670615,0.00575811282353494,0.001494126205448,0.00502921671927893,0.0037,0.0027,-0.0041,0.0117
Glaciers,region_3,2016,0.011315410939867,-0.00876214369176958,0.0313923185182111,-0.000330102364507253,0.0229672025378676,0.00308028092159008,0.0195461536149954,0.0118,0.0122,-0.0255,0.0446
Glaciers,region_4,2016,0.0053395982392647,-0.00457180427674747,0.015268155415343,-0.000411083932683758,0.0111036674500196,0.00126894853385239,0.00940549521998298,0.0061,0.0058,-0.0140,0.0221
Glaciers,region_5,2016,0.0109658215601025,-0.00802843446845467,0.0299607344607482,-5.25913662926463e-05,0.0219845789008463,0.00317777109480013,0.0187531202657009,0.0116,0.0121,-0.0302,0.0402
Glaciers,region_6,2016,0.00172258058695493,-0.00268570328252606,0.00615607233345404,-0.000851908113057857,0.00428177450264285,-9.89505011955217e-05,0.00351100043400393,0.0022,0.0027,-0.0062,0.0100
Glaciers,region_7,2016,0.00882008969653412,-0.00421732087994018,0.0218591951865245,0.00125850784838541,0.0163766710744891,0.00348186180040783,0.0141664813685121,0.0094,0.0082,-0.0186,0.0361
Glaciers,region_8,2016,-4.01292227887014e-05,-0.0010915012124856,0.000610199051883286,-0.000441746232831785,0.000361487787254382,-0.000344384533427401,0.000264126087849998,0.0004,0.0004,-0.0009,0.0017
Glaciers,region_9,2016,0.00931722166536603,-0.00358806467383138,0.0222357840164242,0.00182250026609916,0.0168122930726852,0.00401797534808199,0.0146105707331997,0.0094,0.0076,-0.0136,0.0349
Glaciers,region_10,2016,-1.62113669529299e-05,-0.000527699354057139,0.000469113393921371,-0.000372116191594084,0.000339693457688224,-0.000285836234105319,0.000253413500199459,0.0004,0.0004,-0.0007,0.0017
Glaciers,region_11,2016,9.23058119276479e-05,-0.000477336076721079,0.00122047229128518,-0.000325431573081419,0.000544680134905781,-0.000224161903988312,0.000408773527843607,0.0007,0.0004,-0.0007,0.0020
Glaciers,region_12,2016,-1.52795361430609e-06,-0.000452905409050882,0.000449849501822269,-0.000332538087601128,0.000329482180372516,-0.000252293206634626,0.000249237299406014,0.0003,0.0002,-0.0004,0.0009
Glaciers,region_13,2016,0.00612773313082305,-0.00179514465840999,0.0140594488780623,0.00154752251103489,0.0107215432196878,0.00287699309044791,0.00937058853839374,0.0070,0.0048,-0.0071,0.0202
Glaciers,region_14,2016,0.00388668155927869,-0.00281751809219265,0.0105573828528116,-7.40817796319104e-06,0.00777364436242495,0.00113500118801168,0.00662723409242692,0.0039,0.0040,-0.0089,0.0158
Glaciers,region_15,2016,0.00200707663065391,-0.000885349605805705,0.00490230178675079,0.000357992306856137,0.0036601630035267,0.000823869184627006,0.00318951850893883,0.0027,0.0017,-0.0024,0.0083
Glaciers,region_16,2016,2.40254352228927e-05,-0.000914738310942783,0.00109618728408353,-0.000392994230815714,0.000441045101261499,-0.000291898554200294,0.000339949424646079,0.0006,0.0005,-0.0009,0.0020
Glaciers,region_17,2016,0.0041333534230497,-0.00510331316201512,0.0133541878888736,-0.00122107861968068,0.00947351684880399,0.000352741636314827,0.00792164814117386,0.0044,0.0053,-0.0111,0.0220
Glaciers,region_18,2016,-6.04748116799408e-05,-0.00103666541534757,0.000443970647167036,-0.000430401481501057,0.000309451858141175,-0.00034072228881715,0.000219772665457268,0.0002,0.0003,-0.0008,0.0012
Glaciers,region_19,2016,0.0154021870629338,-0.0196209209444387,0.0504219377233853,-0.00491722026641688,0.0357193046930197,0.00103860178218748,0.0297646190744425,0.0162,0.0216,-0.0572,0.0910
Glaciers,ALL,2016,0.108270474063329,0.0502706468551187,0.17233533728702,0.0746384986178403,0.144677384141087,0.0825212057286036,0.134923602607265,0.110,0.037,0.016,0.232
LAND_ICE,ALL,2016,0.182842789126299,0.00448425707748404,0.368534242995417,0.0708100189581895,0.28603700036368,0.102236381814692,0.256922909815013,0.184,0.113,-0.148,0.567
GrIS,ALL,2017,0.0459755597592958,-0.0528595826628261,0.149377126129375,-0.0104145043013789,0.103559507934795,0.00617500825992874,0.0863411690609872,0.0411,0.0648,-0.2878,0.3981
AIS,WAIS,2017,0.0646258523760903,-0.113056192268292,0.241683983070528,-0.037914361692604,0.166976260891648,-0.0077693816106329,0.136928597183764,0.0605,0.1049,-0.2450,0.3778
AIS,EAIS,2017,0.00991464358840525,-0.076940935088216,0.100102162805979,-0.0406690454858508,0.0615087655903654,-0.0259124245488379,0.0462341386839077,0.0114,0.0558,-0.1605,0.1745
AIS,PEN,2017,0.00156654480783102,-0.0454588891265009,0.0489589689214338,-0.025710419197529,0.0289537532509964,-0.0177185865983508,0.0209054747689187,0.0026,0.0296,-0.0729,0.1010
AIS,ALL,2017,0.078678942914309,-0.128665997288643,0.261499375617788,-0.0465254057725926,0.184769423811713,-0.00636233788604055,0.152113327917541,0.074,0.120,-0.267,0.419
Glaciers,region_1,2017,0.0284516377984956,-0.0200223781794315,0.0769709100709111,0.000329667071896538,0.0565883040370471,0.00857194832890455,0.0483399966974346,0.0305,0.0298,-0.0590,0.1202
Glaciers,region_2,2017,0.00721832630733097,-0.000460964641251688,0.0149347337780143,0.00274897643956219,0.0116854680015521,0.00405464392702488,0.0103729972180315,0.0076,0.0048,-0.0120,0.0275
Glaciers,region_3,2017,0.0211335172653463,-0.0115407892189913,0.0538182619973182,0.00217479449562449,0.0400938099637672,0.00773242632888462,0.0345326925867126,0.0214,0.0209,-0.0388,0.0976
Glaciers,region_4,2017,0.0111125131134123,-0.00655718111239059,0.0287902842528535,0.000855151109593195,0.0213638518596024,0.00386182797144506,0.0183592659530745,0.0114,0.0113,-0.0196,0.0437
Glaciers,region_5,2017,0.0210060044682592,-0.013493569862594,0.0555052862692174,0.000987641495839587,0.0410242778006972,0.00685558979386067,0.0351563220247095,0.0220,0.0207,-0.0396,0.0782
Glaciers,region_6,2017,0.00423425949247603,-0.00340584799782652,0.0119070837055875,-0.000209718065044993,0.00867519394496027,0.00109004121474197,0.00737078025223077,0.0045,0.0048,-0.0098,0.0188
Glaciers,region_7,2017,0.0175892263516379,-0.00644737985982742,0.0416290099745418,0.0036434450603574,0.0315318861380038,0.00772986787274227,0.0274455918558515,0.0184,0.0142,-0.0188,0.0636
Glaciers,region_8,2017,0.000451884950832395,-0.0010223686054429,0.00191597662112157,-0.000332701617751606,0.001281035065121,-0.000142498813246394,0.00107932317825723,0.0010,0.0008,-0.0014,0.0031
Glaciers,region_9,2017,0.0182200216331408,-0.00334151655116146,0.0397823287762557,0.00571142528133159,0.0307279874243823,0.00937943151208252,0.0270637507937086,0.0195,0.0132,-0.0238,0.0568
