ice_source,region,year,q0.5,q0.05,q0.95,q0.17,q0.83,q0.25,q0.75,sample_mean,sample_sd,sample_min, sample_max
GrIS,ALL,2100,2.02575409003412,-5.66597233966697,11.511540787984,-2.4000617097113,6.82624732278714,-1.11108076747801,5.33372712789114,2.3975,6.3997,-35.0245,54.8599
AIS,WAIS,2100,2.12231781933586,-5.28839712976685,10.4436587740641,-2.21768056287028,6.71382236667482,-0.960432486136551,5.32486135532229,2.2564,4.9103,-13.5402,23.4011
AIS,EAIS,2100,1.58428671097549,-3.88206998172992,7.63749760888851,-1.61773539254945,4.95270577745328,-0.689967133192765,3.93847341994894,1.6494,3.6180,-11.0465,22.7436
AIS,PEN,2100,0.404458004070827,-1.18792394945407,2.08511007181113,-0.555083967495592,1.40647088637665,-0.284993841219967,1.11809641466341,0.3849,1.0160,-2.9399,3.6923
AIS,ALL,2100,4.17195506767038,-5.58932348117569,14.4231782430937,-1.54353393395994,9.83369098389829,0.179096427407963,8.32035902066439,4.291,6.223,-15.383,30.983
Glaciers,region_1,2100,1.09933579410758,-0.149851928458788,2.34855882457752,0.37468747893957,1.82400310046165,0.587087341479587,1.61159418696891,1.0899,0.7591,-1.4431,3.9719
Glaciers,region_2,2100,0.148064472161472,0.0689686545679001,0.223696785491698,0.102257859271866,0.193128959412562,0.115714429775346,0.180082927978616,0.1487,0.0465,-0.0077,0.2600
Glaciers,region_3,2100,0.854692484941688,-0.573202879765749,2.28263445269382,0.0264989186892041,1.68288707628517,0.269274329963858,1.44010900168421,0.8291,0.8527,-1.7423,3.9658
Glaciers,region_4,2100,0.451538533058904,-0.195088086094638,1.0974298743217,0.0765378587209908,0.826300363588436,0.186481666063163,0.716476649669182,0.4645,0.3858,-1.0973,1.7499
Glaciers,region_5,2100,0.656090841279189,-0.333673009236454,1.64517534792068,0.0820543546950853,1.22989703285987,0.250340493258553,1.0617258397786,0.6829,0.6062,-1.6372,2.6844
Glaciers,region_6,2100,0.227325750197437,-0.117209841874001,0.570833252772861,0.0275216214641571,0.426898179018226,0.0861026148492922,0.368442149410934,0.2242,0.2127,-0.4495,0.9100
Glaciers,region_7,2100,0.735713531880182,-0.070884248200098,1.47154865888209,0.269468683444937,1.1858304720434,0.40679499779219,1.05735206437598,0.7520,0.4804,-0.8759,1.7300
Glaciers,region_8,2100,0.0310216821326825,0.00702778655281849,0.0545690437648927,0.0171124537297812,0.0448399045951361,0.0211935601803076,0.0408094965524164,0.0317,0.0143,-0.0159,0.0700
Glaciers,region_9,2100,0.860224105962529,-0.169998119702865,1.88995985331241,0.262625892536555,1.45771320564186,0.437795340933991,1.28260271644388,0.8593,0.6185,-1.1528,3.2000
Glaciers,region_10,2100,0.0150564548121719,-0.00289492121785254,0.0275057926308593,0.00485267984504687,0.0236266340119987,0.00792537530083973,0.0214065169156912,0.0167,0.0104,-0.0229,0.0300
Glaciers,region_11,2100,0.0155254286365824,0.00631852436457985,0.0244846446121974,0.0101828506902489,0.0208223439210729,0.0117524873069565,0.0192771454411942,0.0161,0.0055,-0.0038,0.0300
Glaciers,region_12,2100,0.00802440966140529,0.00374618569376755,0.0122999614930926,0.00556836465203483,0.0104753189501354,0.00627215754888651,0.00978142681361207,0.0086,0.0025,-0.0018,0.0175
Glaciers,region_13,2100,0.368508115975548,0.0507541133901229,0.666824452096084,0.184585032208247,0.548191280261997,0.23866056269546,0.496457434559703,0.3669,0.1883,-0.2781,0.7900
Glaciers,region_14,2100,0.270496414061511,0.0453714717831523,0.49466900389487,0.139909703321275,0.400909267039943,0.178190246526079,0.362728051634195,0.2738,0.1377,-0.1363,0.6900
Glaciers,region_15,2100,0.100509833083288,0.00318758537582732,0.185295567171094,0.0443648344723276,0.153644929384588,0.0609464943455348,0.138702645730519,0.1049,0.0574,-0.0764,0.2100
Glaciers,region_16,2100,0.0111657797313726,0.000397729932313911,0.0184071045013075,0.00505011731987048,0.0162054223198076,0.00689888181175426,0.0149170559549783,0.0125,0.0061,-0.0102,0.0200
Glaciers,region_17,2100,0.3170409577803,-0.0395836695525394,0.673691264918131,0.110162808180835,0.523928617198857,0.170799988400283,0.46328666580189,0.3174,0.2173,-0.3787,1.0615
Glaciers,region_18,2100,0.00462130118287466,-0.000925936876901816,0.0101671074285751,0.00142740715215482,0.0078363999181308,0.00235692906535196,0.00689550223670158,0.0051,0.0032,-0.0070,0.0171
Glaciers,region_19,2100,0.688470289008809,-1.22481067590085,2.59912865588621,-0.421056820260347,1.79711453344087,-0.0957461023054255,1.4722454768444,0.6804,1.1446,-2.9100,4.5555
Glaciers,ALL,2100,6.89166873819019,3.50500477711383,10.1887269416717,4.95874296427492,8.8041835104509,5.56527299870506,8.24772805740772,6.885,2.047,0.363,14.201
LAND_ICE,ALL,2100,13.1760483083644,-0.604809665398132,28.7116690495404,5.27490082705411,21.6235185527431,7.39026368070264,19.1410142571447,13.573,9.360,-24.887,67.295
